id,terrestrial_date,sol,ls,month,min_temp,pressure
2.0,1969-12-31 23:59:54.462632727,10,155,6,-75.0,739.0
13.0,1970-01-01 00:00:08.360135546,11,156,6,-76.0,740.0
24.0,1970-01-01 00:00:03.810894290,12,156,6,-76.0,741.0
35.0,1969-12-31 23:59:59.261653034,13,157,6,-74.0,732.0
46.0,1969-12-31 23:59:54.712411779,14,157,6,-74.0,740.0
57.0,1970-01-01 00:00:08.609914597,15,158,6,-78.0,740.0
68.0,1970-01-01 00:00:04.060673342,16,158,6,-77.0,740.0
79.0,1969-12-31 23:59:59.511432086,17,159,6,-76.0,742.0
112.0,1969-12-31 23:59:59.761211138,21,161,6,-74.0,741.0
114.0,1969-12-31 23:59:55.211969882,22,162,6,-74.0,742.0
123.0,1970-01-01 00:00:09.109472700,23,162,6,-75.0,741.0
134.0,1970-01-01 00:00:04.560231445,24,163,6,-75.0,742.0
145.0,1970-01-01 00:00:00.010990189,25,163,6,-75.0,743.0
156.0,1969-12-31 23:59:55.461748934,26,164,6,-76.0,745.0
163.0,1969-12-31 23:59:50.912507678,27,164,6,-75.0,743.0
170.0,1970-01-01 00:00:04.810010496,28,165,6,-75.0,745.0
171.0,1970-01-01 00:00:00.260769241,29,166,6,-75.0,747.0
172.0,1969-12-31 23:59:55.711527985,30,166,6,-74.0,747.0
173.0,1969-12-31 23:59:51.162286730,31,167,6,-74.0,745.0
175.0,1970-01-01 00:00:00.510548292,33,168,6,-73.0,748.0
176.0,1969-12-31 23:59:51.412065781,34,168,6,-73.0,748.0
177.0,1970-01-01 00:00:05.309568599,35,169,6,-73.0,749.0
178.0,1970-01-01 00:00:00.760327344,36,169,6,-73.0,750.0
179.0,1969-12-31 23:59:56.211086088,37,170,6,-73.0,750.0
180.0,1969-12-31 23:59:51.661844833,38,171,6,-73.0,750.0
181.0,1970-01-01 00:00:05.559347651,39,171,6,-75.0,751.0
182.0,1970-01-01 00:00:01.010106395,40,172,6,-75.0,753.0
183.0,1969-12-31 23:59:56.460865140,41,172,6,-75.0,753.0
184.0,1969-12-31 23:59:51.911623884,42,173,6,-75.0,754.0
185.0,1970-01-01 00:00:05.809126702,43,173,6,-74.0,756.0
186.0,1970-01-01 00:00:01.259885447,44,174,6,-75.0,757.0
187.0,1969-12-31 23:59:56.710644191,45,175,6,-74.0,758.0
188.0,1969-12-31 23:59:52.161402936,46,175,6,-74.0,758.0
189.0,1970-01-01 00:00:06.058905754,47,176,6,-75.0,758.0
190.0,1970-01-01 00:00:01.509664498,48,176,6,-75.0,759.0
191.0,1969-12-31 23:59:56.960423243,49,177,6,-74.0,761.0
192.0,1969-12-31 23:59:52.411181987,50,177,6,-72.0,761.0
193.0,1970-01-01 00:00:06.308684805,51,178,6,-76.0,762.0
194.0,1970-01-01 00:00:01.759443550,52,179,6,-74.0,762.0
195.0,1969-12-31 23:59:57.210202294,53,179,6,-71.0,764.0
196.0,1969-12-31 23:59:52.660961039,54,180,7,-72.0,766.0
197.0,1970-01-01 00:00:06.558463857,55,180,7,-74.0,766.0
198.0,1970-01-01 00:00:02.009222601,56,181,7,-73.0,768.0
199.0,1969-12-31 23:59:57.459981346,57,181,7,-73.0,769.0
200.0,1969-12-31 23:59:52.910740090,58,182,7,-74.0,769.0
201.0,1970-01-01 00:00:06.808242909,59,183,7,-76.0,771.0
202.0,1970-01-01 00:00:02.259001653,60,183,7,-75.0,772.0
203.0,1969-12-31 23:59:57.709760397,61,184,7,-72.0,772.0
204.0,1969-12-31 23:59:53.160519142,62,184,7,-72.0,774.0
205.0,1970-01-01 00:00:07.058021960,63,185,7,-73.0,775.0
206.0,1970-01-01 00:00:02.508780705,64,186,7,-74.0,776.0
207.0,1969-12-31 23:59:57.959539449,65,186,7,-72.0,777.0
208.0,1969-12-31 23:59:53.410298194,66,187,7,-73.0,778.0
209.0,1970-01-01 00:00:07.307801012,67,187,7,-73.0,780.0
210.0,1970-01-01 00:00:02.758559756,68,188,7,-71.0,781.0
211.0,1969-12-31 23:59:58.209318501,69,189,7,-73.0,778.0
212.0,1970-01-01 00:00:07.557580063,70,189,7,-72.0,783.0
213.0,1970-01-01 00:00:03.008338808,71,190,7,-71.0,784.0
214.0,1969-12-31 23:59:58.459097552,72,190,7,-73.0,785.0
215.0,1969-12-31 23:59:53.909856297,73,191,7,-70.0,788.0
216.0,1970-01-01 00:00:07.807359115,74,192,7,-72.0,790.0
217.0,1970-01-01 00:00:03.258117859,75,192,7,-73.0,791.0
218.0,1969-12-31 23:59:58.708876604,76,193,7,-73.0,792.0
219.0,1969-12-31 23:59:54.159635348,77,193,7,-71.0,792.0
220.0,1970-01-01 00:00:08.057138166,78,194,7,-71.0,793.0
221.0,1970-01-01 00:00:03.507896911,79,195,7,-73.0,795.0
222.0,1969-12-31 23:59:58.958655655,80,195,7,-70.0,796.0
223.0,1969-12-31 23:59:54.409414400,81,196,7,-72.0,798.0
224.0,1970-01-01 00:00:08.306917218,82,196,7,-72.0,799.0
225.0,1970-01-01 00:00:03.757675962,83,197,7,-72.0,801.0
226.0,1969-12-31 23:59:59.208434707,84,198,7,-70.0,801.0
227.0,1969-12-31 23:59:54.659193451,85,198,7,-71.0,805.0
228.0,1970-01-01 00:00:08.556696269,86,199,7,-71.0,808.0
229.0,1970-01-01 00:00:04.007455014,87,199,7,-70.0,808.0
230.0,1969-12-31 23:59:59.458213758,88,200,7,-70.0,811.0
231.0,1969-12-31 23:59:54.908972503,89,201,7,-73.0,813.0
233.0,1970-01-01 00:00:08.806475321,90,201,7,-71.0,813.0
234.0,1970-01-01 00:00:04.257234065,91,202,7,-74.0,817.0
235.0,1969-12-31 23:59:59.707992810,92,202,7,-74.0,820.0
236.0,1969-12-31 23:59:55.158751554,93,203,7,-72.0,819.0
237.0,1970-01-01 00:00:09.056254373,94,204,7,-70.0,822.0
238.0,1970-01-01 00:00:04.507013117,95,204,7,-68.0,822.0
239.0,1969-12-31 23:59:59.957771861,96,205,7,-71.0,826.0
240.0,1969-12-31 23:59:55.408530606,97,206,7,-68.0,828.0
241.0,1969-12-31 23:59:50.859289350,98,206,7,-68.0,828.0
